ipc_analysed_percentage,ipc_analysed_population,ipc_analysis_comment,ipc_area_name,ipc_country_name,ipc_create_date,ipc_data_source,ipc_data_type,ipc_id,ipc_is_latest_value,ipc_phase3_percentage,ipc_phase3_population,ipc_phase4_percentage,ipc_phase4_population,ipc_phase5_percentage,ipc_phase5_population,ipc_reference_period,ipc_update_date,ipc_year,iso3_alpha3
1.0,43101000,Entire country,,Afghanistan,2023-11-09 10:17:00.773,GRFC 2023,IPC,1,True,0.32,13824000,0.14,6080000,0.0,0,"GRFC 2023 (IPC September 2022, proj. Nov 2022 - March 2023)",,2023,AFG
0.09,2750000,17 rural municipalities in 3 south-western provinces,,Angola,2023-11-09 10:17:00.783,GRFC 2022 MYU,IPC,2,True,0.42,1167000,0.15,417000,0.0,0,"GRFC 2022 MYU (IPC Sep 2021, proj Oct 21 - Mar 22)",,2023,AGO
1.0,2968000,Entire country,,Armenia,2023-11-09 10:17:00.793,WFP,CARI,3,True,0.29,852000,0.01,39000,0.0,0,WFP CARI. FSVA 2023 Round 5 (Jan 2023),,2023,ARM
0.01,1325000,"Cox's Bazar (Rohingya refugees & host community), Bashan Char (Rohingya refugees)",Cox's Bazar,Bangladesh,2023-11-09 10:17:00.810,ENA,ENA,4,True,0.86,1135000,0.0,0,0.0,0,WFP Mini REVA (Refugees in camps/CXB and Bhashan Char) and REVA 6 (Host Community).,,2023,BGD
1.0,22299000,Entire country,,Burkina Faso,2023-11-09 10:17:00.823,CH,CH,5,True,0.12,2704000,0.03,605000,0.0,43000,"CH April 2023, proj. June - August 2023",,2023,BFA
1.0,12045000,Entire country,,Burundi,2023-11-09 10:17:00.833,IPC,IPC,6,True,0.18,2217000,0.01,105000,0.0,0,"IPC May 2023, current April - May 2023",,2023,BDI
1.0,13028000,Entire country,,Bénin,2023-11-09 10:17:00.840,CH,CH,7,True,0.04,533000,0.0,14000,0.0,0,"CH April 2023, current March - May 2023",,2023,BEN
1.0,484000,Entire country,,Cabo Verde,2023-11-09 10:17:00.853,CH,CH,8,True,0.08,41000,0.01,3000,0.0,0,"CH April 2023, current March - May 2023",,2023,CPV
1.0,27123000,Entire country,,Cameroon,2023-11-09 10:17:00.860,CH,CH,9,True,0.1,2676000,0.01,336000,0.0,0,"CH April 2023, current March - May 2023",,2023,CMR
1.0,6091000,Entire country ,,Central African Republic,2023-11-09 10:17:00.873,IPC,IPC,10,True,0.33,2011000,0.11,642000,0.0,0,"IPC Sep 2022, Sep 2022 - Mar 2023",,2023,CAF
1.0,18034000,"Entire country, incl. N'Djamena",,Chad,2023-11-09 10:17:00.893,CH,CH,11,True,0.11,2064000,0.01,232000,0.0,0,"CH April 2023, proj Jun - Aug 23, update July 2023",,2023,TCD
0.05,2478000,Venezuelan migrants,Venezuelan migrants,Colombia,2023-11-09 10:17:00.910,WFP,CARI,12,True,0.45,1115000,0.07,173000,0.0,0,WFP EFSA Nov 2022,,2023,COL
0.95,51600000,Residents ,Residents,Colombia,2023-11-09 10:17:00.920,WFP,CARI,13,True,0.26,13416000,0.04,2064000,0.0,0,WFP EFSA Feb 2023,,2023,COL
1.0,5836000,"Bétou, Bouémba",,Congo,2023-11-09 10:17:00.930,WFP,CARI,14,True,0.21,1219000,0.03,166000,0.0,0,WFP Aug-Sep 2022 PDM,,2023,COG
0.83,21811000,9 districts (31 regions),,Cote d'Ivoire,2023-11-09 10:17:00.940,CH,CH,15,True,0.05,1018000,0.0,0,0.0,0,"CH April 2023, proj Jun - Aug 23",,2023,CIV
0.94,102972000,26 provinces comprising 138 rural areas and 47 urban areas (incl. 24 in Kinshasa),,Democratic Republic of Congo,2023-11-09 10:17:00.953,IPC,IPC,16,True,0.22,22460000,0.03,3381000,0.0,0,"IPC Apr 2023, Jan - Jun 23",,2023,COD
